id,timestamp,user_input,model_output,feedback,feedback_value,exploration,expected_output
16997,2025-12-04T12:41:43.305978,50,100,love,2.0,0,100
16996,2025-12-04T12:41:41.435781,4050,8100,love,2.0,0,8100
16995,2025-12-04T12:41:37.683942,5000,10000,love,2.0,0,10000
16994,2025-12-04T12:41:35.746748,324,648,love,2.0,0,648
16993,2025-12-04T12:41:32.468762,5,10,love,2.0,0,10
16992,2025-12-04T12:41:29.725689,72,144,love,2.0,0,144
16991,2025-12-04T12:41:29.725364,301,602,love,2.0,0,602
16990,2025-12-04T12:41:29.725032,439,878,love,2.0,0,878
16989,2025-12-04T12:41:29.724641,562,1124,love,2.0,0,1124
16988,2025-12-04T12:41:29.724208,232,464,love,2.0,0,464
16987,2025-12-04T12:41:29.722532,668,1336,love,2.0,0,1336
16986,2025-12-04T12:41:29.721638,486,972,love,2.0,0,972
16985,2025-12-04T12:41:29.721157,28,56,love,2.0,0,56
16984,2025-12-04T12:41:29.720833,945,1890,love,2.0,0,1890
16983,2025-12-04T12:41:29.720498,729,1458,love,2.0,0,1458
16982,2025-12-04T12:41:29.719880,865,1730,love,2.0,0,1730
16981,2025-12-04T12:41:29.719507,751,1502,love,2.0,0,1502
16980,2025-12-04T12:41:29.719191,974,1948,love,2.0,0,1948
16979,2025-12-04T12:41:29.718869,524,1048,love,2.0,0,1048
16978,2025-12-04T12:41:29.718480,731,1462,love,2.0,0,1462
16977,2025-12-04T12:41:29.718020,390,780,love,2.0,0,780
16976,2025-12-04T12:41:29.717649,425,850,love,2.0,0,850
16975,2025-12-04T12:41:29.717326,474,948,love,2.0,0,948
16974,2025-12-04T12:41:29.716991,39,78,love,2.0,0,78
16973,2025-12-04T12:41:29.716610,80,160,love,2.0,0,160
16972,2025-12-04T12:41:29.715911,217,434,love,2.0,0,434
16971,2025-12-04T12:41:29.715605,671,1342,love,2.0,0,1342
16970,2025-12-04T12:41:29.715269,516,1032,love,2.0,0,1032
16969,2025-12-04T12:41:29.714889,705,1410,love,2.0,0,1410
16968,2025-12-04T12:41:29.714579,344,688,love,2.0,0,688
16967,2025-12-04T12:41:29.714272,691,1382,love,2.0,0,1382
16966,2025-12-04T12:41:29.713956,575,1150,love,2.0,0,1150
16965,2025-12-04T12:41:29.713530,629,1258,love,2.0,0,1258
16964,2025-12-04T12:41:29.713154,772,1544,love,2.0,0,1544
16963,2025-12-04T12:41:29.712787,895,1790,love,2.0,0,1790
16962,2025-12-04T12:41:29.712116,97,194,love,2.0,0,194
16961,2025-12-04T12:41:29.711775,983,1966,love,2.0,0,1966
16960,2025-12-04T12:41:29.711386,899,1798,love,2.0,0,1798
16959,2025-12-04T12:41:29.710980,89,178,love,2.0,0,178
16958,2025-12-04T12:41:29.710637,976,1952,love,2.0,0,1952
16957,2025-12-04T12:41:29.710217,713,1426,love,2.0,0,1426
16956,2025-12-04T12:41:29.709793,758,1516,love,2.0,0,1516
16955,2025-12-04T12:41:29.709458,118,236,love,2.0,0,236
16954,2025-12-04T12:41:29.709097,168,336,love,2.0,0,336
16953,2025-12-04T12:41:29.708719,677,1354,love,2.0,0,1354
16952,2025-12-04T12:41:29.707812,222,444,love,2.0,0,444
16951,2025-12-04T12:41:29.706915,401,802,love,2.0,0,802
16950,2025-12-04T12:41:29.706438,189,378,love,2.0,0,378
16949,2025-12-04T12:41:29.706099,301,602,love,2.0,0,602
16948,2025-12-04T12:41:29.705746,64,128,love,2.0,0,128
16947,2025-12-04T12:41:29.705411,879,1758,love,2.0,0,1758
16946,2025-12-04T12:41:29.705059,308,616,love,2.0,0,616
16945,2025-12-04T12:41:29.704695,4,8,love,2.0,0,8
16944,2025-12-04T12:41:29.704345,823,1646,love,2.0,0,1646
16943,2025-12-04T12:41:29.703990,179,358,love,2.0,0,358
16942,2025-12-04T12:41:29.703353,168,336,love,2.0,0,336
16941,2025-12-04T12:41:29.702906,933,1866,love,2.0,0,1866
16940,2025-12-04T12:41:29.702564,337,674,love,2.0,0,674
16939,2025-12-04T12:41:29.702169,692,1384,love,2.0,0,1384
16938,2025-12-04T12:41:29.701706,516,1032,love,2.0,0,1032
16937,2025-12-04T12:41:29.701283,681,1362,love,2.0,0,1362
16936,2025-12-04T12:41:29.700893,493,986,love,2.0,0,986
16935,2025-12-04T12:41:29.700545,156,312,love,2.0,0,312
16934,2025-12-04T12:41:29.700190,129,258,love,2.0,0,258
16933,2025-12-04T12:41:29.699804,212,424,love,2.0,0,424
16932,2025-12-04T12:41:29.698947,420,840,love,2.0,0,840
16931,2025-12-04T12:41:29.698529,502,1004,love,2.0,0,1004
16930,2025-12-04T12:41:29.698148,391,782,love,2.0,0,782
16929,2025-12-04T12:41:29.697801,771,1542,love,2.0,0,1542
16928,2025-12-04T12:41:29.697456,723,1446,love,2.0,0,1446
16927,2025-12-04T12:41:29.697071,116,232,love,2.0,0,232
16926,2025-12-04T12:41:29.696678,46,92,love,2.0,0,92
16925,2025-12-04T12:41:29.696316,919,1838,love,2.0,0,1838
16924,2025-12-04T12:41:29.695964,128,256,love,2.0,0,256
16923,2025-12-04T12:41:29.695559,348,696,love,2.0,0,696
16922,2025-12-04T12:41:29.694792,266,532,love,2.0,0,532
16921,2025-12-04T12:41:29.694307,11,22,love,2.0,0,22
16920,2025-12-04T12:41:29.693941,200,400,love,2.0,0,400
16919,2025-12-04T12:41:29.693573,921,1842,love,2.0,0,1842
16918,2025-12-04T12:41:29.693187,450,900,love,2.0,0,900
16917,2025-12-04T12:41:29.692757,356,712,love,2.0,0,712
16916,2025-12-04T12:41:29.691937,828,1656,love,2.0,0,1656
16915,2025-12-04T12:41:29.691429,967,1934,love,2.0,0,1934
16914,2025-12-04T12:41:29.690893,76,152,love,2.0,0,152
